DateTime,Open,High,Low,Close,Volume
2025-05-28 09:30:00,5925.5400390625,5931.81982421875,5925.5400390625,5931.16015625,0
2025-05-28 09:35:00,5931.509765625,5939.1201171875,5930.14013671875,5939.1201171875,45725782
2025-05-28 09:40:00,5938.97998046875,5939.919921875,5936.0,5936.72998046875,41923424
2025-05-28 09:45:00,5936.85986328125,5937.509765625,5924.759765625,5925.18017578125,40681258
2025-05-28 09:50:00,5925.2099609375,5926.330078125,5921.6201171875,5923.10009765625,35556631
2025-05-28 09:55:00,5923.16015625,5924.18994140625,5918.18994140625,5919.9501953125,33370544
2025-05-28 10:00:00,5920.240234375,5923.830078125,5917.7900390625,5920.77978515625,32402955
2025-05-28 10:05:00,5920.5498046875,5921.47998046875,5917.39990234375,5919.759765625,29888275
2025-05-28 10:10:00,5918.10009765625,5919.68017578125,5915.77001953125,5917.35009765625,35095215
2025-05-28 10:15:00,5916.93994140625,5918.02001953125,5913.43017578125,5916.0,30493625
2025-05-28 10:20:00,5916.02001953125,5918.1298828125,5912.0498046875,5917.60009765625,30112319
2025-05-28 10:25:00,5917.52978515625,5918.330078125,5913.18017578125,5914.31982421875,26568859
2025-05-28 10:30:00,5914.27978515625,5914.830078125,5910.85986328125,5913.39990234375,26616602
2025-05-28 10:35:00,5913.41015625,5913.669921875,5907.43017578125,5908.7900390625,25246088
2025-05-28 10:40:00,5908.85986328125,5913.75,5908.6201171875,5910.58984375,25563155
2025-05-28 10:45:00,5910.509765625,5910.68994140625,5908.27978515625,5910.02978515625,24390812
2025-05-28 10:50:00,5910.02001953125,5910.2900390625,5905.740234375,5905.740234375,24409535
2025-05-28 10:55:00,5905.77001953125,5907.27001953125,5904.06982421875,5905.4501953125,23367070
2025-05-28 11:00:00,5905.2900390625,5912.669921875,5905.06005859375,5912.43994140625,23412423
2025-05-28 11:05:00,5912.43017578125,5912.72998046875,5907.22998046875,5908.77001953125,22274617
2025-05-28 11:10:00,5908.669921875,5908.669921875,5904.0,5904.0,24716916
2025-05-28 11:15:00,5903.8701171875,5908.2099609375,5903.8701171875,5908.080078125,24738312
2025-05-28 11:20:00,5908.2001953125,5911.08984375,5907.93994140625,5908.16015625,23010954
2025-05-28 11:25:00,5908.18017578125,5908.33984375,5905.4599609375,5905.830078125,24312259
2025-05-28 11:30:00,5905.81005859375,5907.22021484375,5904.0498046875,5904.22021484375,24019255
2025-05-28 11:35:00,5904.2900390625,5906.0,5902.14990234375,5905.490234375,23478450
2025-05-28 11:40:00,5905.4501953125,5907.06982421875,5903.080078125,5903.64990234375,20041209
2025-05-28 11:45:00,5903.60009765625,5904.7900390625,5903.35986328125,5904.7001953125,19387300
2025-05-28 11:50:00,5904.7001953125,5907.990234375,5904.7001953125,5907.27978515625,17534811
2025-05-28 11:55:00,5907.2900390625,5907.66015625,5901.7900390625,5901.97021484375,19878513
2025-05-28 12:00:00,5902.06005859375,5907.89990234375,5902.06005859375,5907.0498046875,21690550
2025-05-28 12:05:00,5907.0400390625,5910.990234375,5906.83984375,5910.4501953125,17733336
2025-05-28 12:10:00,5910.41015625,5910.41015625,5907.91015625,5909.2099609375,15487642
2025-05-28 12:15:00,5909.16015625,5911.35009765625,5909.08984375,5910.43017578125,15969951
2025-05-28 12:20:00,5910.39990234375,5910.85009765625,5907.31982421875,5908.10009765625,18388180
2025-05-28 12:25:00,5908.1201171875,5911.0498046875,5908.10009765625,5910.4599609375,18438702
2025-05-28 12:30:00,5910.43017578125,5911.3798828125,5909.2900390625,5909.5400390625,15508000
2025-05-28 12:35:00,5909.60009765625,5913.77978515625,5909.60009765625,5912.85009765625,17054000
2025-05-28 12:40:00,5912.85986328125,5913.08984375,5911.41015625,5912.43017578125,15468000
2025-05-28 12:45:00,5912.41015625,5913.43994140625,5911.240234375,5912.85986328125,16840000
2025-05-28 12:50:00,5912.8701171875,5913.330078125,5908.39990234375,5909.0,16008000
2025-05-28 12:55:00,5909.1201171875,5911.990234375,5908.83984375,5911.2099609375,12874000
2025-05-28 13:00:00,5911.14990234375,5914.72021484375,5910.10986328125,5914.58984375,17420000
2025-05-28 13:05:00,5914.52978515625,5915.75,5914.009765625,5914.4599609375,14859000
2025-05-28 13:10:00,5914.5,5916.60986328125,5914.25,5914.509765625,17166000
2025-05-28 13:15:00,5914.509765625,5917.43017578125,5914.43017578125,5917.02001953125,17031000
2025-05-28 13:20:00,5917.02001953125,5917.3798828125,5914.85986328125,5915.47021484375,17649000
2025-05-28 13:25:00,5915.47021484375,5915.580078125,5912.009765625,5914.240234375,17998000
2025-05-28 13:30:00,5914.259765625,5914.330078125,5910.9599609375,5911.43994140625,15058000
2025-05-28 13:35:00,5911.41015625,5911.41015625,5908.81982421875,5909.5498046875,15448000
2025-05-28 13:40:00,5909.5498046875,5910.0,5906.77001953125,5908.39013671875,15433000
2025-05-28 13:45:00,5908.3798828125,5910.14013671875,5908.06005859375,5909.8701171875,14399000
2025-05-28 13:50:00,5909.85009765625,5909.85009765625,5907.8798828125,5909.39013671875,15207000
2025-05-28 13:55:00,5909.47021484375,5911.43994140625,5908.52001953125,5908.9501953125,22683000
2025-05-28 14:00:00,5908.89990234375,5914.60986328125,5908.759765625,5913.91015625,20351000
2025-05-28 14:05:00,5913.91015625,5914.22998046875,5910.8701171875,5912.43994140625,17932000
2025-05-28 14:10:00,5912.52978515625,5915.85986328125,5912.52978515625,5914.75,21058000
2025-05-28 14:15:00,5914.77001953125,5914.77001953125,5910.52001953125,5910.72021484375,17194000
2025-05-28 14:20:00,5910.72021484375,5912.52001953125,5909.77001953125,5912.5,18783000
2025-05-28 14:25:00,5912.5498046875,5913.259765625,5911.06005859375,5912.25,17991000
2025-05-28 14:30:00,5912.33984375,5914.5400390625,5912.27978515625,5912.5498046875,20096000
2025-05-28 14:35:00,5912.5,5914.6298828125,5912.39013671875,5913.830078125,17516000
2025-05-28 14:40:00,5913.77001953125,5914.5498046875,5912.93017578125,5913.41015625,18982000
2025-05-28 14:45:00,5913.35009765625,5913.72998046875,5911.31982421875,5911.35009765625,18838000
2025-05-28 14:50:00,5911.39013671875,5911.81982421875,5892.18017578125,5900.2099609375,48235000
2025-05-28 14:55:00,5900.240234375,5910.419921875,5899.3798828125,5909.419921875,22965000
2025-05-28 15:00:00,5909.35009765625,5911.83984375,5907.68017578125,5911.83984375,21931000
2025-05-28 15:05:00,5911.8701171875,5918.85986328125,5911.2998046875,5917.1298828125,24992000
